Target %,Trades,Target Hit,SL Hit,Open,Win Rate %,Avg SL %,Avg R:R,Avg PnL %,Total PnL %,Avg Win %,Avg Loss %,Expectancy %,Profit Factor,Max Drawdown %,Calmar
1.0,128,53,73,1,42.1,1.23,1.2,-0.158,-20.18,1.01,-1.01,-0.158,0.73,-21.76,-0.93
1.5,128,41,85,1,32.5,1.23,1.8,-0.206,-26.37,1.51,-1.04,-0.206,0.71,-25.73,-1.02
4.5,128,18,108,2,14.3,1.23,5.41,-0.287,-36.74,4.35,-1.1,-0.287,0.69,-43.76,-0.84
4.0,128,20,107,1,15.7,1.23,4.81,-0.293,-37.46,4.0,-1.09,-0.293,0.68,-46.76,-0.8
2.0,128,31,96,1,24.4,1.23,2.41,-0.31,-39.65,2.0,-1.05,-0.31,0.61,-39.43,-1.01
5.0,128,16,110,2,12.7,1.23,6.01,-0.33,-42.27,4.81,-1.12,-0.33,0.66,-41.63,-1.02
3.0,128,23,104,1,18.1,1.23,3.61,-0.335,-42.89,3.0,-1.07,-0.335,0.62,-48.72,-0.88
5.5,128,15,111,2,11.9,1.23,6.61,-0.337,-43.16,5.26,-1.14,-0.337,0.66,-43.24,-1.0
3.5,128,20,107,1,15.7,1.23,4.21,-0.371,-47.46,3.5,-1.09,-0.371,0.6,-49.76,-0.95
2.5,128,24,103,1,18.9,1.23,3.01,-0.401,-51.38,2.5,-1.07,-0.401,0.54,-52.22,-0.98
6.5,128,10,116,2,7.9,1.23,7.82,-0.534,-68.39,6.07,-1.15,-0.534,0.49,-67.75,-1.01
6.0,128,10,116,2,7.9,1.23,7.21,-0.573,-73.39,5.61,-1.15,-0.573,0.46,-72.75,-1.01
7.0,128,8,117,3,6.4,1.23,8.42,-0.614,-78.54,5.95,-1.17,-0.614,0.43,-77.9,-1.01
7.5,128,7,117,4,5.6,1.23,9.02,-0.625,-80.04,5.8,-1.17,-0.625,0.42,-79.4,-1.01
8.0,128,5,118,5,4.1,1.23,9.62,-0.762,-97.48,5.69,-1.19,-0.762,0.32,-96.84,-1.01
